"","t","x","y"
"5460",88967,0.164441,0.513798
"5461",88982,0.164929,0.515196
"5462",88998,0.164777,0.517453
"5463",89014,0.163514,0.521403
"5464",89029,0.158184,0.523157
"5465",89045,0,0
"5466",89060,0,0
"5467",89076,0,0
"5468",89092,0,0
"5469",89107,0,0
"5470",89123,0,0
"5471",89154,0,0
"5472",89154,0,0
"5473",89170,0,0
"5474",89185,0,0
"5475",89201,0,0
"5476",89216,0,0
"5477",89232,0,0
"5478",89263,0,0
"5479",89279,0,0
"5480",89294,0,0
"5481",89310,0,0
"5482",89326,0,0
"5483",89341,0,0
"5484",89357,0,0
"5485",89372,0,0
"5486",89388,0.108941,0.625546
"5487",89404,0,0
"5488",89419,-0.237395,1.34465
"5489",89435,0,0
"5490",89450,0,0
"5491",89466,0,0
"5492",89482,-0.414121,1.71511
"5493",89497,0,0
"5494",89513,-0.498665,1.91007
"5495",89528,0,0
"5496",89560,-0.539946,2.01424
"5497",89575,0,0
"5498",89591,-0.554595,2.07649
"5499",89606,0,0
"5500",89622,-0.559442,2.10889
"5501",89638,0,0
"5502",89653,-0.557797,2.10976
"5503",89669,-0.545644,2.09284
"5504",89684,-0.509859,2.04365
"5505",89700,-0.432538,1.93491
"5506",89716,-0.311435,1.75509
"5507",89731,-0.171826,1.53056
"5508",89747,-0.115174,1.28782
"5509",89762,0.0133455,1.04432
"5510",89778,0.119451,0.844247
"5511",89794,0.181684,0.740726
"5512",89809,0.215089,0.68149
"5513",89825,0.2396,0.637482
"5514",89840,0.254786,0.611587
"5515",89856,0.262056,0.597623
"5516",89872,0.265164,0.587948
"5517",89887,0.267507,0.577978
"5518",89903,0.269735,0.568578
"5519",89918,0.272059,0.55924
"5520",89934,0.27454,0.550644
"5521",89950,0.276924,0.543391
"5522",89965,0.277917,0.537493
"5523",89981,0.27861,0.533024
"5524",90012,0.279796,0.528786
"5525",90028,0.281235,0.5254
"5526",90043,0.282905,0.523045
"5527",90059,0.284857,0.519672
"5528",90074,0.286351,0.51784
"5529",90090,0.287642,0.514695
"5530",90106,0.289129,0.510645
"5531",90121,0.290487,0.507384
"5532",90137,0.291865,0.504122
"5533",90152,0.292921,0.500933
"5534",90168,0.293921,0.49815
"5535",90184,0.294763,0.49473
"5536",90199,0.295985,0.492004
"5537",90215,0.298026,0.490617
"5538",90230,0.299345,0.489621
"5539",90246,0.3018,0.489993
"5540",90262,0.304048,0.490568
"5541",90277,0.306264,0.491749
"5542",90293,0.309375,0.493569
"5543",90308,0.31235,0.496107
"5544",90324,0.315435,0.498174
"5545",90340,0.318381,0.499029
"5546",90355,0.321523,0.499652
"5547",90371,0.324326,0.499847
"5548",90402,0.326876,0.500879
"5549",90418,0.329399,0.503474
"5550",90433,0.331867,0.505065
"5551",90449,0.333885,0.505597
"5552",90464,0.336034,0.505916
"5553",90480,0.337826,0.505945
"5554",90496,0.339203,0.506543
"5555",90511,0.340342,0.507462
"5556",90527,0.340995,0.507682
"5557",90542,0.341704,0.50746
"5558",90558,0.342257,0.507194
"5559",90574,0.342831,0.507026
"5560",90589,0.34346,0.507207
"5561",90605,0.34379,0.507412
"5562",90620,0.344023,0.507635
"5563",90636,0.3443,0.50765
"5564",90652,0.344544,0.507916
"5565",90667,0.344815,0.508215
"5566",90683,0.343596,0.508601
"5567",90698,0.330806,0.505854
"5568",90714,0.297894,0.506085
"5569",90730,0.258047,0.49456
"5570",90745,0.221272,0.490422
"5571",90776,0.190565,0.488305
"5572",90792,0.165323,0.487654
"5573",90808,0.14385,0.489339
"5574",90823,0.126962,0.491428
"5575",90839,0.113838,0.492889
"5576",90854,0.104549,0.494019
